822M	node_modules
257M	apps
 57M	docs
 49M	packages
2.4M	api_dev.log
2.3M	tools
400K	pnpm-lock.yaml
 52K	governance
 36K	scripts
 32K	api_v2.log
 28K	uploads
 28K	gate_final_closure_attempt5.log
 28K	gate_final_closure_attempt4.log
 28K	diagnose_api_tail.log
 24K	manual_victory_closure_final_final_final.log
 24K	gate_final_closure_attempt2.log
 20K	manual_victory_ultimate_closure.log
 20K	manual_debug_root_cause.log
 20K	latest_api_full.log
 20K	gate_final_closure.log
 16K	test_output.log
 16K	gate_final_closure_attempt3.log
 16K	dist
 12K	gate_final_v5.log
8.0K	worker_v2.log
8.0K	walkthrough.md
8.0K	manual_victory_ultimate_v2.log
8.0K	manual_victory_final.log
8.0K	manual_success_attempt.log
8.0K	manual_final.log
