[20251229_214223] Waiting for pipeline...
[1/60] VIDEO_RENDER SUCCEEDED count: 0
[2/60] VIDEO_RENDER SUCCEEDED count: 0
[3/60] VIDEO_RENDER SUCCEEDED count: 0
[4/60] VIDEO_RENDER SUCCEEDED count: 0
[5/60] VIDEO_RENDER SUCCEEDED count: 0
[6/60] VIDEO_RENDER SUCCEEDED count: 0
[7/60] VIDEO_RENDER SUCCEEDED count: 0
[8/60] VIDEO_RENDER SUCCEEDED count: 0
[9/60] VIDEO_RENDER SUCCEEDED count: 0
[10/60] VIDEO_RENDER SUCCEEDED count: 0
[11/60] VIDEO_RENDER SUCCEEDED count: 0
[12/60] VIDEO_RENDER SUCCEEDED count: 0
[13/60] VIDEO_RENDER SUCCEEDED count: 0
[14/60] VIDEO_RENDER SUCCEEDED count: 0
[15/60] VIDEO_RENDER SUCCEEDED count: 0
[16/60] VIDEO_RENDER SUCCEEDED count: 0
[17/60] VIDEO_RENDER SUCCEEDED count: 0
[18/60] VIDEO_RENDER SUCCEEDED count: 0
[19/60] VIDEO_RENDER SUCCEEDED count: 0
[20/60] VIDEO_RENDER SUCCEEDED count: 0
[21/60] VIDEO_RENDER SUCCEEDED count: 0
[22/60] VIDEO_RENDER SUCCEEDED count: 0
[23/60] VIDEO_RENDER SUCCEEDED count: 0
[24/60] VIDEO_RENDER SUCCEEDED count: 0
[25/60] VIDEO_RENDER SUCCEEDED count: 0
[26/60] VIDEO_RENDER SUCCEEDED count: 0
[27/60] VIDEO_RENDER SUCCEEDED count: 0
[28/60] VIDEO_RENDER SUCCEEDED count: 0
[29/60] VIDEO_RENDER SUCCEEDED count: 0
[30/60] VIDEO_RENDER SUCCEEDED count: 0
[31/60] VIDEO_RENDER SUCCEEDED count: 0
[32/60] VIDEO_RENDER SUCCEEDED count: 0
[33/60] VIDEO_RENDER SUCCEEDED count: 0
[34/60] VIDEO_RENDER SUCCEEDED count: 0
[35/60] VIDEO_RENDER SUCCEEDED count: 0
[36/60] VIDEO_RENDER SUCCEEDED count: 0
[37/60] VIDEO_RENDER SUCCEEDED count: 0
[38/60] VIDEO_RENDER SUCCEEDED count: 0
[39/60] VIDEO_RENDER SUCCEEDED count: 0
[40/60] VIDEO_RENDER SUCCEEDED count: 0
[41/60] VIDEO_RENDER SUCCEEDED count: 0
[42/60] VIDEO_RENDER SUCCEEDED count: 0
[43/60] VIDEO_RENDER SUCCEEDED count: 0
[44/60] VIDEO_RENDER SUCCEEDED count: 0
[45/60] VIDEO_RENDER SUCCEEDED count: 0
[46/60] VIDEO_RENDER SUCCEEDED count: 0
[47/60] VIDEO_RENDER SUCCEEDED count: 0
[48/60] VIDEO_RENDER SUCCEEDED count: 0
[49/60] VIDEO_RENDER SUCCEEDED count: 0
[50/60] VIDEO_RENDER SUCCEEDED count: 0
[51/60] VIDEO_RENDER SUCCEEDED count: 0
[52/60] VIDEO_RENDER SUCCEEDED count: 0
[53/60] VIDEO_RENDER SUCCEEDED count: 0
[54/60] VIDEO_RENDER SUCCEEDED count: 0
[55/60] VIDEO_RENDER SUCCEEDED count: 0
[56/60] VIDEO_RENDER SUCCEEDED count: 0
[57/60] VIDEO_RENDER SUCCEEDED count: 0
[58/60] VIDEO_RENDER SUCCEEDED count: 0
[59/60] VIDEO_RENDER SUCCEEDED count: 0
[60/60] VIDEO_RENDER SUCCEEDED count: 0
