api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/seasons/:seasonId/episodes, GET} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/seasons/:seasonId/episodes/:episodeId, GET} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/seasons/:seasonId/episodes, POST} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/seasons/:seasonId/episodes/:episodeId, PATCH} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/seasons/:seasonId/episodes/:episodeId, DELETE} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RoutesResolver","msg":"ScenesController {/api/episodes/:episodeId/scenes}:"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/episodes/:episodeId/scenes, GET} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/episodes/:episodeId/scenes/:sceneId, GET} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/episodes/:episodeId/scenes, POST} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/episodes/:episodeId/scenes/:sceneId, PATCH} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/episodes/:episodeId/scenes/:sceneId, DELETE} route"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RoutesResolver","msg":"ShotsController {/api/scenes/:sceneId/shots}:"}
api-1  | apps/api start: {"level":30,"time":1767268218052,"pid":23,"hostname":"ac7e893970b3","context":"RouterExplorer","msg":"Mapped {/api/scenes/:sceneId/shots, GET} route"}
